Sales Orders - Query of some fields from the the Adventureworks table Sales.SalesOrderHeader
SalesOrderID,OrderDate,CustomerID,SubTotal,SalesOrderDetailID,ProductID,OrderQty,UnitPrice,LineTotal
43659,31.05.2011 00:00:00,29825,"20565,6206"
,,,,1,776,1,"2024,9940","2024,994000"
,,,,2,777,3,"2024,9940","6074,982000"
,,,,3,778,1,"2024,9940","2024,994000"
,,,,4,771,1,"2039,9940","2039,994000"
,,,,5,772,1,"2039,9940","2039,994000"
,,,,6,773,2,"2039,9940","4079,988000"
,,,,7,774,1,"2039,9940","2039,994000"
,,,,8,714,3,"28,8404","86,521200"
,,,,9,716,1,"28,8404","28,840400"
,,,,10,709,6,"5,7000","34,200000"
,,,,11,712,2,"5,1865","10,373000"
,,,,12,711,4,"20,1865","80,746000"
43660,31.05.2011 00:00:00,29672,"1294,2529"
,,,,13,762,1,"419,4589","419,458900"
,,,,14,758,1,"874,7940","874,794000"
43661,31.05.2011 00:00:00,29734,"32726,4786"
,,,,15,745,1,"809,7600","809,760000"
,,,,16,743,1,"714,7043","714,704300"
,,,,17,747,2,"714,7043","1429,408600"
,,,,18,712,4,"5,1865","20,746000"
,,,,19,715,4,"28,8404","115,361600"
,,,,20,742,2,"722,5949","1445,189800"
,,,,21,775,3,"2024,9940","6074,982000"
,,,,22,778,2,"2024,9940","4049,988000"
,,,,23,711,2,"20,1865","40,373000"
,,,,24,741,2,"818,7000","1637,400000"
,,,,25,776,4,"2024,9940","8099,976000"
,,,,26,773,2,"2039,9940","4079,988000"
,,,,27,716,2,"28,8404","57,680800"
,,,,28,777,2,"2024,9940","4049,988000"
,,,,29,708,5,"20,1865","100,932500"
43662,31.05.2011 00:00:00,29994,"28832,5289"
,,,,30,764,3,"419,4589","1258,376700"
,,,,31,770,5,"419,4589","2097,294500"
,,,,32,730,2,"183,9382","367,876400"
,,,,33,754,4,"874,7940","3499,176000"
,,,,34,725,3,"183,9382","551,814600"
,,,,35,762,5,"419,4589","2097,294500"
,,,,36,765,3,"419,4589","1258,376700"
,,,,37,768,2,"419,4589","838,917800"
,,,,38,753,1,"2146,9620","2146,962000"
,,,,39,756,1,"874,7940","874,794000"
,,,,40,763,3,"419,4589","1258,376700"
,,,,41,732,1,"356,8980","356,898000"
,,,,42,758,6,"874,7940","5248,764000"
,,,,43,729,1,"183,9382","183,938200"
,,,,44,722,3,"178,5808","535,742400"
,,,,45,749,1,"2146,9620","2146,962000"
,,,,46,760,3,"419,4589","1258,376700"
,,,,47,726,1,"183,9382","183,938200"
,,,,48,733,1,"356,8980","356,898000"
,,,,49,738,1,"178,5808","178,580800"
,,,,50,766,3,"419,4589","1258,376700"
,,,,51,755,1,"874,7940","874,794000"
43663,31.05.2011 00:00:00,29565,"419,4589"
,,,,52,760,1,"419,4589","419,458900"
